user_id,primaryTitle,rating
1,Encino Man,7.6
1,Pontypool,6.8
1,Big,9.3
1,Deep Blue Sea,7.8
1,Shehzada,6.7
1,The Deaths of Ian Stone,7.2
1,Edtv,8.1
1,Bring Me the Head of Alfredo Garcia,6.8
1,Under the Skin,9.2
1,Fair Game,5.2
1,Sgt. Bilko,8.5
1,Swan Song,7.8
1,Where the Truth Lies,5.5
1,Cul-de-sac,6.9
1,Yamakasi,7.9
1,Warcraft,5.7
1,Blue Crush,6.7
1,Nightwatch,7.8
1,Popeye,8.7
1,Mary Poppins,8.4
2,The Brood,5.4
2,I Kill Giants,3.8
2,Around the World in 80 Days,9.3
2,The Book of Life,4.7
2,Fireproof,7.2
2,Don,7.2
2,Withnail and I,5.7
2,Land,7.0
2,Frankenhooker,8.7
2,Sommersby,6.3
2,Cannonball Run II,7.3
2,House of the Dead,8.9
2,Freddy Got Fingered,5.9
2,Sucker Punch,6.2
2,Cat People,6.6
2,Rock of Ages,8.7
2,Southern Comfort,7.3
2,After,7.9
2,My Cousin Vinny,6.7
2,Ingrid Goes West,6.4
2,The New Mutants,8.9
2,Pan's Labyrinth,5.8
2,House of Flying Daggers,7.1
2,A Silent Voice: The Movie,5.2
2,A Most Wanted Man,6.1
2,The Quiet Man,7.6
2,Ramayana: The Legend of Prince Rama,6.4
2,The Jacket,8.3
2,Napoleon Dynamite,8.1
2,The Babysitter,7.5
2,"Mystery, Alaska",5.8
2,Nymphomaniac: Vol. II,5.7
3,A Most Violent Year,5.2
3,Behind the Mask: The Rise of Leslie Vernon,7.9
3,My Old Ass,9.3
3,Just Like Heaven,8.4
3,Captain Marvel,8.3
3,We Own the Night,7.9
3,Non-Stop,7.8
3,The Apparition,5.4
3,You Were Never Really Here,7.9
3,The Killers,6.8
3,The Counselor,7.1
3,Hell House LLC,6.2
3,Far and Away,8.4
3,The Man with One Red Shoe,8.8
3,Compartment Number 6,5.7
3,Land of Bad,6.3
3,Dobaaraa,7.4
3,Kingdom of Heaven,5.4
3,The First Time,8.0
3,Dances with Wolves,7.2
3,Fast & Furious 6,9.1
3,Master,8.0
3,Wanderlust,8.0
3,The Myth,6.2
3,Harriet,3.9
3,Saving Silverman,9.1
3,Son of the Mask,5.4
3,The Hurricane,6.2
4,Pathaan,7.5
4,#Home,4.7
4,Nosferatu the Vampyre,3.0
4,It Takes Two,7.3
4,Creed III,6.5
4,Johnny Guitar,5.4
4,A Private War,5.4
4,A Man Called Ove,6.2
4,The Riot Club,5.1
4,Bee Movie,7.1
4,Made of Honor,8.0
4,The Bourne Identity,8.2
4,Rubber,4.9
4,The Last Duel,6.1
4,A Classic Horror Story,4.8
4,The Magdalene Sisters,5.3
4,The Rookie,4.4
4,The Holiday,5.1
4,Nowhere in Africa,5.7
4,Casino Royale,7.6
4,Borg vs. McEnroe,6.0
4,One False Move,4.0
4,Bharat,5.2
4,May December,6.2
4,Idle Hands,6.2
4,The Experiment,6.7
4,Insomnia,8.5
4,The Greatest Game Ever Played,6.0
4,Rebel Moon - Part One: A Child of Fire,7.9
4,Queen of the Damned,5.7
4,Jingle Jangle: A Christmas Journey,5.6
4,Ulajh,5.0
4,The Little Prince,6.7
